Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
EPHA1,427575,,Karyotype,30097
NYAP1,787198,,Karyotype,29130
PPIAP55,492826,,Karyotype,29039
KRT18P51,445765,,Karyotype,29365
GUSBP5,624407,,Karyotype,30131
RPS29P10,577367,,Karyotype,29669
RNY3,260457,,Karyotype,30218
FLG-AS1,263527,,Karyotype,29407
RNU3,590584,,Karyotype,29706
KHDRBS2-OT1,286470,,Karyotype,28990
IRF1-AS1,546876,,Karyotype,29656
MSL3P1,952035,,Karyotype,29407
RIPK2-DT,131156,,Karyotype,29950
MGC4859,852960,,Karyotype,29823
RNF215,216258,,Karyotype,29578
LINC02462,721333,,Karyotype,30120
ARHGAP10,198632,,Karyotype,29844
PTCD2,786741,,Karyotype,29985
INS,392392,,Karyotype,29396
FER,488964,,Karyotype,29573
FAM91A1,202394,,Karyotype,29165
CDKN2B,138466,,Karyotype,30184
DGKH,267646,,Karyotype,29066
SLC35F4,420146,,Karyotype,29383
SNRNP27,890902,,Karyotype,29134
REL,722692,,Karyotype,30012
RBMX2P4,834136,,Karyotype,29346
PPP4R3B,378592,,Karyotype,29610
TGFBRAP1,857078,,Karyotype,30276
FADS1,427139,,Karyotype,29875
CD28,838688,,Karyotype,30048
CDCA7L,706815,,Karyotype,30148
ZNF804B,344509,,Karyotype,29954
SDK1,350666,,Karyotype,29192
PCBP2P3,379500,,Karyotype,30215
PPP3CA,582069,,Karyotype,29129
LINC02075,444929,,Karyotype,30135
NKX2,125698,,Karyotype,30146
GRIN2D,797576,,Karyotype,29739
CD44,785529,,Karyotype,29104
TRAM1L1,403374,,Karyotype,29367
ENTPD6,619385,,Karyotype,29369
ASXL3,131201,,Karyotype,29951
POLR2E,901045,,Karyotype,29775
LIPC,108710,,Karyotype,29906
EIF1P5,936045,,Karyotype,29680
RAB3C,331842,,Karyotype,29764
LINC03000,541834,,Karyotype,29942
CPS1,871906,,Karyotype,28980
FAM13B,136464,,Karyotype,29896
SIX6,454758,,Karyotype,29873
HLA,489111,,Karyotype,30186
UNC5CL,943772,,Karyotype,29317
CSF1,465730,,Karyotype,29094
RIN3,600561,,Karyotype,29127
HNRNPA3P1,722737,,Karyotype,29306
LINC02357,302940,,Karyotype,30223
ZBTB10,808015,,Karyotype,29757
ATXN7,388042,,Karyotype,29438
RNA5SP73,371262,,Karyotype,29217
PPIAP88,843729,,Karyotype,29365
PSMB7,911326,,Karyotype,29122
STX17,654611,,Karyotype,29668
PTHLH,880144,,Karyotype,29327
HIP1R,550998,,Karyotype,29733
TFCP2L1,912420,,Karyotype,30089
TMEM220,724019,,Karyotype,29361
PITX3,676979,,Karyotype,29903
RNA5SP299,583480,,Karyotype,30113
RXRG,271589,,Karyotype,29644
LINC01680,922651,,Karyotype,29179
MAP3K7,356690,,Karyotype,29581
DMRT2,587242,,Karyotype,29294
BNC2,646227,,Karyotype,29843
A1CF,269615,,Karyotype,30203
RERG,457109,,Karyotype,29520
PPP2R2D,196123,,Karyotype,29774
SC5D,267111,,Karyotype,29490
CFL1,727446,,Karyotype,29213
SMIM38,763439,,Karyotype,29088
RUNX3,429845,,Karyotype,29630
PPARGC1B,811986,,Karyotype,29210
GLUL,252764,,Karyotype,29752
TUBBP9,448036,,Karyotype,29627
DUS4L,658586,,Karyotype,29432
BUB3P1,112627,,Karyotype,29020
SOX17,264374,,Karyotype,29197
INSL6,431949,,Karyotype,29962
LPAR1,615352,,Karyotype,29967
NEK6,787659,,Karyotype,29501
C10orf11,430021,,Karyotype,29217
CLECL1P,955952,,Karyotype,28940
OGFOD2,165335,,Karyotype,29150
BRAP,121381,,Karyotype,30201
RPL6,793162,,Karyotype,29241
KAT2A,315121,,Karyotype,29908
PRKD2,769781,,Karyotype,29689
SULF2,268804,,Karyotype,29491
PSD4,993803,,Karyotype,29772
CCBE1,926681,,Karyotype,29229
RPS3AP24,827552,,Karyotype,29993
NELL1,929774,,Karyotype,30029
KRT5,491722,,Karyotype,30006
CD36,744444,,Karyotype,29970
KRR1,980735,,Karyotype,29953
FTLP17,850578,,Karyotype,29181
LINC01153,581791,,Karyotype,30264
FOXQ1,678383,,Karyotype,28969
SLAMF1,687788,,Karyotype,29002
GRIK2,184204,,Karyotype,29415
GYPA,343687,,Karyotype,29217
MCMBP,408225,,Karyotype,29531
COQ7,845698,,Karyotype,29305
SSPN,519087,,Karyotype,29214
SLC30A2,547921,,Karyotype,29756
GATM,364992,,Karyotype,29764
AKAP8P1,146339,,Karyotype,29696
SYNE2,507761,,Karyotype,29679
DCD,831754,,Karyotype,29629
ZDHHC12,810297,,Karyotype,29991
TRA,814128,,Karyotype,30080
BCL2L15,379323,,Karyotype,30082
DCLRE1B,165380,,Karyotype,29120
ZC3HC1,935223,,Karyotype,29665
OLFM3,347092,,Karyotype,29382
FTH1P5,371084,,Karyotype,29063
LINC02450,848148,,Karyotype,28941
KCNH8,710255,,Karyotype,29483
TDRD9,686737,,Karyotype,30212
ZPBP2,374846,,Karyotype,29279
RBBP8,322786,,Karyotype,29267
IL8RA,523290,,Karyotype,29309
HIP1,212193,,Karyotype,29851
UFL1,142635,,Karyotype,29127
EIF3H,230582,,Karyotype,29669
MBNL1,808733,,Karyotype,30030
CD80,207202,,Karyotype,29221
ARRDC1,235856,,Karyotype,30291
RPL15P21,759314,,Karyotype,29339
FAM200B,409766,,Karyotype,29882
HHIP,716083,,Karyotype,30021
EXOC3,248355,,Karyotype,29767
PTGER4,959954,,Karyotype,29480
CYFIP2,421376,,Karyotype,29714
RREB1,660274,,Karyotype,29067
EEF1B2P6,507661,,Karyotype,28948
SUN1,341778,,Karyotype,30208
CDK6,292939,,Karyotype,29396
CPVL,747599,,Karyotype,29155
SMIM21,798737,,Karyotype,28979
MNX1,950881,,Karyotype,29385
CFL2,450849,,Karyotype,29191
RN7SKP168,182483,,Karyotype,29959
B3GNT2,755503,,Karyotype,29145
ADH5P2,229531,,Karyotype,29494
AIMP1P2,507837,,Karyotype,29928
VTCN1,723272,,Karyotype,29441
OTUD7B,722630,,Karyotype,30147
TTC22,488837,,Karyotype,30060
SP8,933314,,Karyotype,29935
ADAM15,548511,,Karyotype,29968
RAET1M,439135,,Karyotype,30231
LINC00326,250734,,Karyotype,29179
CREM,642417,,Karyotype,29448
VTI1A,200629,,Karyotype,29222
CCNY,774018,,Karyotype,29357
MUC15,373650,,Karyotype,29176
HIGD1C,291888,,Karyotype,29557
TRIM27,532619,,Karyotype,29990
LINC01230,137695,,Karyotype,29596
CXCR5,814299,,Karyotype,29546
DIP2B,440231,,Karyotype,29719
CLCN4,791946,,Karyotype,28948
CACNA1E,719280,,Karyotype,29999
PRLHR,143198,,Karyotype,30262
PPP1R14B,913041,,Karyotype,29932
MCTP2,821292,,Karyotype,29174
GP2,348901,,Karyotype,28983
LINC00917,478081,,Karyotype,29208
ARL6IP6,688073,,Karyotype,30257
ZFP36L2,787468,,Karyotype,30129
NCKIPSD,761126,,Karyotype,29717
PDLIM5,300604,,Karyotype,29704
FGF5,505835,,Karyotype,29273
MIR29A,190011,,Karyotype,29446
LINC00603,120452,,Karyotype,29395
SFTPC,337427,,Karyotype,29757
GREM1,568583,,Karyotype,30021
TLE3,314936,,Karyotype,29659
ZNF512,512827,,Karyotype,29882
ITGA6,437846,,Karyotype,29431
KCNE4,925964,,Karyotype,28966
CCDC80,306696,,Karyotype,28980
NACAD,826888,,Karyotype,29851
LINC03007,742302,,Karyotype,29443
ICAM3,529111,,Karyotype,30152
PPM1J,807730,,Karyotype,29031
CASP7,615396,,Karyotype,29172
LINC00927,101628,,Karyotype,28941
RASD1,928963,,Karyotype,29179
SOX9,978247,,Karyotype,30288
TAF4B,906472,,Karyotype,29111
LINC02920,675737,,Karyotype,29654
ITGA4,406495,,Karyotype,30208
IL18R1,241943,,Karyotype,29742
RHOB,812316,,Karyotype,29153
SATB1,185177,,Karyotype,29304
FILIP1L,544800,,Karyotype,29847
BOC,725241,,Karyotype,29574
CCRL2,247200,,Karyotype,29934
TNIP3,852808,,Karyotype,29346
ATOH1,418161,,Karyotype,30022
RAI14,441821,,Karyotype,29627
MARCHF11,394780,,Karyotype,30014
CYSTM1,635581,,Karyotype,30192
GJA1,644386,,Karyotype,30133
BTN2A1,708390,,Karyotype,30058
BMP5,667328,,Karyotype,30189
VNN3P,793492,,Karyotype,29004
UNCX,247533,,Karyotype,29032
WDR86,765378,,Karyotype,28972
EMID1,416777,,Karyotype,29300
NCOA2,984722,,Karyotype,29028
PALM2,181314,,Karyotype,29073
TNFRSF10A,573756,,Karyotype,29780
POU5F1B,133357,,Karyotype,29503
SH3GL2,375956,,Karyotype,29741
GARIN3P1,327117,,Karyotype,29410
SEC16A,583252,,Karyotype,29860
CCR4,581660,,Karyotype,29816
KCNU1,219302,,Karyotype,29916
RASGRP3,832912,,Karyotype,30086
MYO18B,549429,,Karyotype,29479
IL33,993885,,Karyotype,29003
RNA5SP110,231802,,Karyotype,29363
DNMT3A,676258,,Karyotype,29410
OLFM4,483210,,Karyotype,29229
PRDX1P1,265292,,Karyotype,29178
DAB2,374390,,Karyotype,29161
CSNK1E,524229,,Karyotype,29804
SLC15A4,296166,,Karyotype,29442
TRIM44,897675,,Karyotype,29895
TMEM229A,822694,,Karyotype,29214
LINC01036,533725,,Karyotype,29979
DNAH7,691544,,Karyotype,30117
AKR1E2,863851,,Karyotype,29984
C10orf67,697948,,Karyotype,30083
DYNC2H1,183196,,Karyotype,29935
ZNF646,701040,,Karyotype,29167
RPL15P15,979367,,Karyotype,28955
THSD7B,356961,,Karyotype,30259
ZNF80,413810,,Karyotype,30243
RARB,463095,,Karyotype,30251
MPPED1,887701,,Karyotype,29199
CHST9,712701,,Karyotype,29746
AQP4,514230,,Karyotype,29291
C2CD4B,855470,,Karyotype,29333
CCDC73,920051,,Karyotype,29237
ALAS1,701374,,Karyotype,29742
LINC02305,223333,,Karyotype,29811
WWTR1,403774,,Karyotype,29662
TRIB2,929547,,Karyotype,30248
BSG,960542,,Karyotype,29434
MIR557,948496,,Karyotype,30110
CHD1,549556,,Karyotype,29969
ZPBP,154631,,Karyotype,29052
SUMO2P6,505848,,Karyotype,30280
C1orf185,752121,,Karyotype,29651
ZFP36L1,816125,,Karyotype,29798
STK39,728740,,Karyotype,29839
LINC01724,472025,,Karyotype,29744
UBE3AP2,929881,,Karyotype,30249
EPHA7,618041,,Karyotype,29715
NAV3,571000,,Karyotype,30172
ZNF385D,320264,,Karyotype,29028
CNTN5,764740,,Karyotype,30291
GRP,296903,,Karyotype,29294
MIR4262,716782,,Karyotype,29874
FADS2,959382,,Karyotype,29559
GLT6D1,506924,,Karyotype,30154
TNP1,737476,,Karyotype,29378
CDCA7,817201,,Karyotype,29555
RPS2P18,285606,,Karyotype,30287
NFIB,639251,,Karyotype,29596
MIR1208,641317,,Karyotype,29343
BTBD1,846547,,Karyotype,29916
ITPKA,386026,,Karyotype,29930
RNY4,359684,,Karyotype,29476
LINC01063,549514,,Karyotype,30018
LINC01645,744786,,Karyotype,29737
FKBP5,722535,,Karyotype,29600
SFRP4,484767,,Karyotype,29317
LSM1,808820,,Karyotype,29508
SLC45A2,429012,,Karyotype,29104
SLC24A2,435348,,Karyotype,30127
IRF8,514113,,Karyotype,29041
GPC5,222881,,Karyotype,29353
CYLD,332852,,Karyotype,29069
DNAH2,275607,,Karyotype,29643
CYP24A1,614532,,Karyotype,29024
SLC4A1AP,232377,,Karyotype,29234
LBH,974899,,Karyotype,29868
SLC35F1,725962,,Karyotype,29769
RPL22P13,414071,,Karyotype,29757
USP12,940755,,Karyotype,30069
LINC01899,848240,,Karyotype,29879
XPNPEP1,244037,,Karyotype,29135
YWHAZP5,606118,,Karyotype,30159
INA,538896,,Karyotype,29072
FSTL4,174274,,Karyotype,30105
EPB41L3,507713,,Karyotype,29132
SLC22A23,423880,,Karyotype,29674
IGSF5,639315,,Karyotype,29180
NTN4,183771,,Karyotype,29265
VANGL2,315933,,Karyotype,29298
TAGAP,140384,,Karyotype,29877
LAMA5,620587,,Karyotype,29483
HSD17B7,355178,,Karyotype,29796
CXCL12,189274,,Karyotype,29605
PHLDB2,558460,,Karyotype,29614
ATP8A2P3,861690,,Karyotype,29886
TMEM232,964281,,Karyotype,30273
NKILA,155450,,Karyotype,29832
RPSAP72,736220,,Karyotype,29840
SPRY4,725775,,Karyotype,30153
KRT18P21,187197,,Karyotype,29256
LINC02945,898796,,Karyotype,28991
GPSM3,355353,,Karyotype,29025
ARHGAP27,979251,,Karyotype,29603
FMN2,312123,,Karyotype,29961
PDE4DIP,723959,,Karyotype,29647
IL12A,614659,,Karyotype,29333
RPL5P32,497326,,Karyotype,29465
UBE2D1,190196,,Karyotype,29643
NAV2,393341,,Karyotype,29398
FABP5,746986,,Karyotype,29909
MTDH,836971,,Karyotype,29567
TSLP,954282,,Karyotype,29578
MIR7515HG,168373,,Karyotype,30063
PPP2R2B,590332,,Karyotype,29259
KCNQ3,228047,,Karyotype,29801
ZBTB7B,504636,,Karyotype,30006
HOXD8,207383,,Karyotype,29383
UBE4B,548955,,Karyotype,29100
AIDAP3,293667,,Karyotype,29475
OR2C3,813859,,Karyotype,29191
COX18,282335,,Karyotype,29786
BMP2,898961,,Karyotype,30174
ITGA9,259844,,Karyotype,29362
OSBPL10,805619,,Karyotype,29709
LRRC18,783369,,Karyotype,29429
POLN,507842,,Karyotype,29157
KLF5,289190,,Karyotype,29017
CCR12P,930545,,Karyotype,29554
CD34,210809,,Karyotype,29100
FOXP4,798918,,Karyotype,29461
PPY2P,321671,,Karyotype,29548
NFKBIA,885203,,Karyotype,29233
SUB1,628885,,Karyotype,30272
METAP1D,873870,,Karyotype,29140
DLX2,771654,,Karyotype,29901
TIMD4,488351,,Karyotype,29933
PIP5K1B,786795,,Karyotype,29467
NDFIP2,656638,,Karyotype,29157
RANBP9,809738,,Karyotype,30238
TNFSF11,328610,,Karyotype,29093
HBE1,548692,,Karyotype,30002
TEF,802345,,Karyotype,30212
DHX35,551785,,Karyotype,29312
BAK1,913207,,Karyotype,29278
GOPC,323724,,Karyotype,29084
SLC26A3,320420,,Karyotype,29702
HOXC13,623650,,Karyotype,29172
GSDMC,297040,,Karyotype,29932
BMS1,325873,,Karyotype,29965
PPP2R3C,115302,,Karyotype,29849
AKAP6,681421,,Karyotype,29940
TGM3,224160,,Karyotype,29896
EMSY,766522,,Karyotype,29124
LRRC32,863115,,Karyotype,30158
TRAF1,934896,,Karyotype,30244
ACTL9,314092,,Karyotype,30094
PPM1A,617270,,Karyotype,29309
IGF1,819881,,Karyotype,29116
TRPC6,365053,,Karyotype,29428
ZNF230,575044,,Karyotype,29412
CLDN14,901102,,Karyotype,29056
SNORD77,640296,,Karyotype,29692
CBLN2,873934,,Karyotype,29700
COL16A1,909928,,Karyotype,29666
TNFRSF8,124019,,Karyotype,29654
NUMBL,458058,,Karyotype,29572
CCL22,121357,,Karyotype,29885
CD9,460282,,Karyotype,29970
MYO1D,832239,,Karyotype,29821
RNF43,308805,,Karyotype,29418
C12orf43,221776,,Karyotype,29563
PGM1,956588,,Karyotype,29279
RAB32,390070,,Karyotype,29138
SORBS3,229609,,Karyotype,30262
SIRPG,130111,,Karyotype,29450
IL2RB,913354,,Karyotype,30151
ASIP,891103,,Karyotype,29393
RPS2,186375,,Karyotype,29381
CTSH,396925,,Karyotype,29330
ORMDL3,712892,,Karyotype,29992
PSCA,441457,,Karyotype,29017
SLA,523774,,Karyotype,29378
TNFRSF6B,981521,,Karyotype,29955
RNF39,813312,,Karyotype,29150
SCAF1,281717,,Karyotype,30189
ITPR2,851688,,Karyotype,29416
IL1R2,749472,,Karyotype,29818
SNAP25,962550,,Karyotype,29726
MIR4719,764613,,Karyotype,29738
HMGA2,286572,,Karyotype,29423
ANKRD16,741232,,Karyotype,29658
NR2F2,858543,,Karyotype,29006
TMTC2,934972,,Karyotype,30269
TRAF3IP2,350961,,Karyotype,30129
MYO19,529603,,Karyotype,29104
LIF,891025,,Karyotype,29048
LYSMD2,301542,,Karyotype,30230
VPS13C,214156,,Karyotype,29314
SMC2,253584,,Karyotype,29173
PTTG1,274857,,Karyotype,29848
SLC47A1,943726,,Karyotype,29080
XPO1,993120,,Karyotype,29465
LINC02955,444814,,Karyotype,29902
TBX15,432768,,Karyotype,29384
PHTF1,121453,,Karyotype,30087
RPS3AP5,626508,,Karyotype,29996
CEP68,806949,,Karyotype,29856
ERAP2,691936,,Karyotype,29586
PCDH11X,872200,,Karyotype,30129
ADCY9,726927,,Karyotype,29078
KLRC4,516052,,Karyotype,29041
PTOV1P1,482091,,Karyotype,29024
PPATP1,256033,,Karyotype,28973
GAB3,983146,,Karyotype,30161
DAP,228865,,Karyotype,29192
MIPEPP2,673321,,Karyotype,29933
ELOVL7,950915,,Karyotype,29446
SPPL3,283787,,Karyotype,29516
TRIM49B,928403,,Karyotype,29655
BLK,332334,,Karyotype,30237
RTEL1,932970,,Karyotype,29742
CTSB,286623,,Karyotype,30192
ZNF436,582473,,Karyotype,29830
LINC00111,830475,,Karyotype,29068
BRINP1,367888,,Karyotype,29055
VAMP3,207427,,Karyotype,29005
RGS1,107929,,Karyotype,30224
NRIP1,114086,,Karyotype,30068
USP25,377384,,Karyotype,29660
ETS2,199187,,Karyotype,29648
PSMG1,845541,,Karyotype,29243
YRDCP3,690710,,Karyotype,29412
GYPC,936397,,Karyotype,29330
PLD4,480853,,Karyotype,29469
NACA,959339,,Karyotype,29918
SCMH1,810979,,Karyotype,29587
SULF1,811650,,Karyotype,30180
GABBR1,447029,,Karyotype,29503
CCN4,126444,,Karyotype,30210
SPATS2L,170285,,Karyotype,30259
RNPEPL1,443146,,Karyotype,29825
SPTBN1,968919,,Karyotype,29387
LINC01128,848967,,Karyotype,30095
CSGALNACT2,537076,,Karyotype,28969
S100A7A,142707,,Karyotype,29139
PARK2,627932,,Karyotype,29089
TNFRSF11A,782748,,Karyotype,29196
RPL3L,221673,,Karyotype,29136
NIHCOLE,792155,,Karyotype,29314
CCL2,874007,,Karyotype,29579
PSORS1C3,748925,,Karyotype,28956
NFKBIL1,574326,,Karyotype,29631
TOX3,151461,,Karyotype,29047
RPS20P23,671653,,Karyotype,29248
BTNL2,501627,,Karyotype,29561
PCDH20,817616,,Karyotype,29544
IER3,629215,,Karyotype,29870
MSH5,582154,,Karyotype,29282
MICB,843912,,Karyotype,29989
CDKN1A,585246,,Karyotype,29369
SCAMP3,827846,,Karyotype,29912
CTCFL,594653,,Karyotype,30091
MIR4697,900900,,Karyotype,30027
SLC25A26,354544,,Karyotype,30037
GPRC6A,666465,,Karyotype,30110
DACH1,120109,,Karyotype,30253
ZNF134,184511,,Karyotype,28975
WBP2NL,663961,,Karyotype,30269
SYT11,435763,,Karyotype,29271
ADIPINT,177097,,Karyotype,28995
TSPAN33,501170,,Karyotype,29009
KLF2,717182,,Karyotype,29719
STC1,203393,,Karyotype,29446
KDM1B,519382,,Karyotype,29670
MTSS1,896549,,Karyotype,29308
INTS9,592435,,Karyotype,29753
C6orf62,169570,,Karyotype,29888
SCN3A,382578,,Karyotype,29837
BEST3,769889,,Karyotype,30011
HNRNPA1P13,776046,,Karyotype,29422
MIR572,993021,,Karyotype,29995
MEGF6,861148,,Karyotype,28998
LINC02030,115964,,Karyotype,29071
TMEM183AP4,192706,,Karyotype,30120
BATF3,698357,,Karyotype,29117
PNKD,794929,,Karyotype,29105
RAB40B,674977,,Karyotype,29701
MTF1,695854,,Karyotype,29366
KCNN4,573611,,Karyotype,29816
CDC25B,831877,,Karyotype,29286
CLEC2D,407360,,Karyotype,29869
BOK,555133,,Karyotype,30042
PDE2A,480109,,Karyotype,29789
RSPH14,407444,,Karyotype,30027
CCDC92,885930,,Karyotype,29874
CPZ,430386,,Karyotype,29102
POU2AF3,267590,,Karyotype,30276
CATSPER3,583578,,Karyotype,30229
TNFSF8,267596,,Karyotype,30186
SLC34A1,989399,,Karyotype,30148
TNFAIP8,256263,,Karyotype,29093
ANAPC4,358854,,Karyotype,29543
WDR1,750894,,Karyotype,29394
LOXL1,998896,,Karyotype,29226
IFNK,536309,,Karyotype,29135
CD33,708616,,Karyotype,29640
PRRX1,180160,,Karyotype,29785
IL18RAP,496148,,Karyotype,29632
GRB14,411562,,Karyotype,30183
SLC9B1,307010,,Karyotype,29370
SSUH2,522445,,Karyotype,29956
LCE3D,692981,,Karyotype,29943
LINC01661,970575,,Karyotype,28995
IKZF1,847799,,Karyotype,30174
PTGS2,660750,,Karyotype,30115
EXO1,979400,,Karyotype,29120
TNP2,261806,,Karyotype,28984
DCTN5,282682,,Karyotype,30216
LRRN2,349737,,Karyotype,29367
PCF11,771696,,Karyotype,29654
NUP205,114295,,Karyotype,30139
BCL2L11,836947,,Karyotype,30088
LINC01564,608905,,Karyotype,30227
RMRPP5,947830,,Karyotype,29233
BTN3A1,786819,,Karyotype,29817
PTK2,774773,,Karyotype,29534
SF3A3,559235,,Karyotype,30079
RGS19,746659,,Karyotype,29267
TANC1,370117,,Karyotype,29627
KLHDC7A,966003,,Karyotype,30212
PIGCP2,160269,,Karyotype,29400
KIRREL3,350813,,Karyotype,29240
MX2,328562,,Karyotype,29628
MOCS1,115371,,Karyotype,29866
SNF8,868626,,Karyotype,29442
TUBA8,776132,,Karyotype,29988
ITPKB,361043,,Karyotype,29680
RNF186,949153,,Karyotype,29544
TMCO1,358402,,Karyotype,29261
CD244,787742,,Karyotype,29805
LY75,727835,,Karyotype,29025
KLHL29,961652,,Karyotype,30199
PPP2R2C,367898,,Karyotype,30289
PDE8B,222625,,Karyotype,29251
PRL,868960,,Karyotype,28998
CARD11,367982,,Karyotype,29386
ZNF462,417267,,Karyotype,28959
PRR5L,478844,,Karyotype,29169
CD69,228128,,Karyotype,29715
CRAC1,952579,,Karyotype,29439
TICAM1,733927,,Karyotype,29395
SSBP4,949938,,Karyotype,29704
SLC2A4RG,768917,,Karyotype,29509
NCF4,790191,,Karyotype,29057
GNB4,219895,,Karyotype,30262
JDP2,959434,,Karyotype,28966
ADCK1,551685,,Karyotype,30003
TRAF3,948101,,Karyotype,29030
VAV3,763585,,Karyotype,29418
BMF,731690,,Karyotype,29021
PRPSAP2,182907,,Karyotype,29200
ISG20,542551,,Karyotype,29238
MRPS11,614333,,Karyotype,29820
MUC21,519170,,Karyotype,29457
COBL,654001,,Karyotype,29766
NUCKS1,531224,,Karyotype,29541
FXR1,432095,,Karyotype,29504
RGS14,642086,,Karyotype,29992
TRPV6,497347,,Karyotype,30078
PHLDB1,866108,,Karyotype,29730
SIK2,972884,,Karyotype,29738
PRDM1,455121,,Karyotype,29865
CAMK2D,349836,,Karyotype,29177
EDEM1,608292,,Karyotype,28958
RN7SKP240,292331,,Karyotype,28964
OPN1SW,305868,,Karyotype,29546
ZNF354A,848230,,Karyotype,29905
WIPF1,453305,,Karyotype,29493
PARD3,666970,,Karyotype,29299
PML,123630,,Karyotype,29355
TIMP3,623262,,Karyotype,29719
CPT1B,725853,,Karyotype,29296
ITM2A,287853,,Karyotype,29838
MICU3,846154,,Karyotype,29491
NUDT10,436297,,Karyotype,29591
CCDC22,797719,,Karyotype,30258
TLR7,547159,,Karyotype,29406
PSRC1,454664,,Karyotype,30076
SORT1,120894,,Karyotype,29950
MKL1,539766,,Karyotype,29327
PTPN1,589051,,Karyotype,29040
SERINC3,895476,,Karyotype,29441
EGLN3,452691,,Karyotype,29158
SCARNA8,425760,,Karyotype,29862
TOX2,752746,,Karyotype,30072
ITCH,990351,,Karyotype,29259
RALY,741414,,Karyotype,29634
NLRP4,792551,,Karyotype,29045
STMN3,827698,,Karyotype,29047
ZHX3,515807,,Karyotype,28956
MS4A4E,183774,,Karyotype,29498
RSPO2,437427,,Karyotype,29075
RYBP,218774,,Karyotype,29404
SLC39A13,414046,,Karyotype,29487
HSPA8P5,253765,,Karyotype,29168
LINC02823,792160,,Karyotype,30239
KLF12,727656,,Karyotype,29620
FOXL1,915080,,Karyotype,29798
LSM7,971527,,Karyotype,29831
BCAS4,432949,,Karyotype,29361
TPM3P2,565268,,Karyotype,30250
LINC01512,519234,,Karyotype,30158
FBXO32,844868,,Karyotype,28987
TESPA1,775309,,Karyotype,29946
MRPL11P2,759172,,Karyotype,30155
CCDC102B,281131,,Karyotype,29157
CFHR1,395222,,Karyotype,29244
ZBTB20,416099,,Karyotype,29020
CCR1,194055,,Karyotype,29332
C6orf15,956163,,Karyotype,28974
TBCC,730105,,Karyotype,29556
CREB5,519410,,Karyotype,29558
LMTK2,734845,,Karyotype,29438
ZNF774,604688,,Karyotype,29648
SCO1,137381,,Karyotype,30190
COX11,370253,,Karyotype,29050
EDNRA,177205,,Karyotype,30101
IL1A,921505,,Karyotype,30186
TMEM17,885193,,Karyotype,30034
KIF3C,346615,,Karyotype,29276
ALMS1P1,239737,,Karyotype,29082
CSF2,508478,,Karyotype,29367
FBXO45,108110,,Karyotype,29355
CROCC,681499,,Karyotype,28955
IL15RA,181163,,Karyotype,29621
RPL5,883117,,Karyotype,29500
DISC1,308751,,Karyotype,29374
LINC02474,839410,,Karyotype,29544
PKN2,932007,,Karyotype,29497
SLC1A7,347974,,Karyotype,29859
PTPRF,459418,,Karyotype,29913
PALMD,924613,,Karyotype,29761
RNY4P15,648511,,Karyotype,29353
ACMSD,468243,,Karyotype,29529
RNF149,489654,,Karyotype,29125
MIR4437,533495,,Karyotype,29082
RTN4,466273,,Karyotype,30160
DPP4,343497,,Karyotype,29343
OPRM1,501264,,Karyotype,30072
RBM43,900286,,Karyotype,29133
CNTN6,423039,,Karyotype,29271
TBL1XR1,623542,,Karyotype,29224
SIAH2,866121,,Karyotype,29890
PRSS44P,687925,,Karyotype,29038
CAND2,326509,,Karyotype,29519
FAM47E,173896,,Karyotype,30061
SCARB2,449419,,Karyotype,29256
LAMP3,552010,,Karyotype,30160
DBIL5P,835391,,Karyotype,29390
KIAA0825,505693,,Karyotype,29715
BOD1,158522,,Karyotype,29620
SEZ6L,540684,,Karyotype,29628
SEMA6A,160207,,Karyotype,29038
HCG24,884658,,Karyotype,29582
